nom_oeuvre,notion_1,notion_2,notion_3,notion_4,notion_5,notion_6,notion_7,notion_8,notion_9,notion_10,notion_11,notion_12,notion_13,notion_14
Tour Eiffel,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,,,,,,,,,,,
Bauhaus,Ossature apparente,Modularité spatiale,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système modulaire,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Décor porteur de sens,,
E-1027,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Typographie expressive,Système de signes,Biomorphisme textile,,,,,
Kleinhans Music Hall,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
La Citée Radieuse,Ossature apparente,Verticalité constructive,Massivité symbolique,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Système modulaire,Poétique de la fonction,,,,,
Glass House,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Réduction formelle,Poétique de la fonction,Décor porteur de sens,,,,,,,,
Musée Guggenhei NYC,Ossature apparente,Verticalité constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
TWA Flight Center,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Transmission du geste,,,,,,
Yale University,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,,
Gateway Arch,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,,,,,,,,
Habitat 67,Ossature apparente,Verticalité constructive,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Système modulaire,Biomorphisme textile,,,,,,,
Willis Faber and Dumas Headquarters,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,,,,,,,,,,
White U House,Ossature apparente,Modularité spatiale,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système modulaire,Poétique de la fonction,,,,,
Centre Pompidou,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Hybridation vestimentaire,,,,,,,,,
Maison à California Avenue,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Biomorphisme textile,Surface texturée,,,,,,,
HSBC Headquarters,Ossature apparente,Modularité spatiale,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,,,,,,,
Tokyo International Forum,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Biomorphisme textile,,,,,,,,
Église de la Lumière,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Hybridation vestimentaire,,,,,,,,
Pyramide du Louvre,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Grille de composition,Système de signes,Hybridation vestimentaire,,,,,,,
Stansted Airport Terminal Building,Ossature apparente,Massivité symbolique,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Biomorphisme textile,,,,,,,
Vitra Fire Station,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,Surface texturée,,,,,,,
Weisman Art Museum,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Biomorphisme textile,Surface texturée,,,,,,,,
Dancing House,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,,,,,,,,,,
Musée Guggenheim Bilbao,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,,,,,,,,
