Nom de la référence,Notions
25 000 Tempos Hugenique,"Accumulation & Densité , Échelle & Proportion , Répétition , Lumière & Ombre , Ancrage & Élévation , Détournement & Appropriation , Illusion & Simulation , Engagement & Sensibilisation , Symbole & Archétype , Réemploi & Réhabilitation"
30 St Mary Axe / The Gherkin,"Échelle & Proportion, Motif & Ornementation, Transparence & Opacité, Lumière & Ombre, Masse & Légèreté, Ancrage & Élévation, Symbole & Archétype, Engagement & Sensibilisation, Innovation & Optimisation"
4 World Trade Center,"Dématérialisation, Minimalisme & Vide, Transparence & Opacité, Échelle & Proportion, Masse & Légèreté, Ancrage & Élévation, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation, Rationalisation & Simplification"
727,"Hybridation & Fusion, Détournement & Appropriation, Texture & État de surface, Hiérarchie & Stratification, Couleur & Saturation, Symbole & Archétype, Échelle & Proportion, Artisanat & Savoir-faire, Mutation & Évolution"
A-POC,"Accumulation & Densité, Répétition, Artisanat & Savoir-faire, Symbole & Archétype, Engagement & Sensibilisation, Masse & Légèreté, Illusion & Simulation, Texture & État de surface, Interaction, Narration & Évocation, Échelle & Proportion, Conception collaborative"
ABCD,"Modularité & Standardisation, Ergonomie & Usages, Mobilité & Déploiement, Fluidité & Rigidité, Masse & Légèreté, Répétition, Innovation & Optimisation, Narration & Évocation"
Aeroplane Dress,"Articulation & Connexion, Déconstruction & Fragmentation, Fluidité & Rigidité, Hybridation & Fusion, Mobilité & Déploiement, Cinétisme & Vibration, Éphémère & Apparition, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation"
Afterwords,"Détournement & Appropriation, Hybridation & Fusion, Mobilité & Déploiement, Mutation & Évolution, Narration & Évocation, Engagement & Sensibilisation, Articulation & Connexion, Fluidité & Rigidité, Ergonomie & Usages, Symbole & Archétype"
Agricola I,"Articulation & Connexion, Déconstruction & Fragmentation, Hybridation & Fusion, Minimalisme & Vide, Texture & État de surface, Ancrage & Élévation, Détournement & Appropriation, Symbole & Archétype, Artisanat & Savoir-faire, Réemploi & Réhabilitation"
Airmail Dress,"Motif & Ornementation, Masse & Légèreté, Texture & État de surface, Interaction, Mobilité & Déploiement, Détournement & Appropriation, Symbole & Archétype, Narration & Évocation, Conception collaborative, Ergonomie & Usages, Innovation & Optimisation, Rationalisation & Simplification"
